Exportado em: 27/06/2018;;;;;;;;;Transparência Fly;
Camboriú - SC;;;;;;;;;;
Todas as entidades do município;;;;;;;;;;
Consulta de compras diretas;;;;;Última atualização: 27/06/2018 22:25:08;;;;;
Filtros utilizados para elaboração da consulta: Entidade: Todas | Ano: 2018 | Mês: Junho | Centro de custos: Todos | Tipo de compra: Todos;;;;;;;;;;
Compra;Data da compra;Objeto;Centro de custos;Fornecedor;;Valor (R$);Justificativa;Tipo de compra;;Anulação / Data
102 - 2018;13/03/2018;CONTRATAÇÃO DE SERVIÇO DE INSTALAÇÃO DE AR CONDICIONADO SPLIT PARA A CASA DA CIDADANIA E CONSELHO TUTELAR. CONSIDERANDO O ABANDONO DOS SERVIÇOS PELA EMPRESA SETTA, TITULAR DA LICITAÇÃO 15/2017PR, EM QUE HÁ MAIS DE 90 (NOVENTA) DIAS NÃO ATENDE AOS CHAMADOS DESTE ÓRGÃO, FAZ-SE NECESSÁRIO A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA INSTALAÇÃO DOS EQUIPAMENTOS DE AR CONDICIONADO. CUMPRE OBSERVAR QUE OS DOIR ORGÃO CONTEMPLADOS NESTA CONTRATAÇÃO ESTÃO O INÍCIO DO VERÃO SEM EQUIPAMENTOS DE CLIMATIZAÇÃO, FRENTE A INÉRCIA DA EMPRESA RESPONSÁVEL, O QUE O TORNA O AMBIENTE DE TRABALHO INSALUBRE.;SECRETARIA DE ADMINISTRAÇÃO;ALEX CLIMATIZAÇÃO;;1.950,00;;Compra Comum;;
101 - 2018;12/03/2018;PRESTAÇÃO DE SERVIÇO PARA LIMPEZA DE 02 FOSSAS E 01 CAIXA DE GORDURA DA DELEGACIA DE POLÍCIA DE CAMBORIU/CITRAN COM A UTILIZAÇÃO DE IM CAMINHÃO DE 15M³;SECRETARIA DE ADMINISTRAÇÃO;ESGOMAFRA SERVICOS DE DESENTUPIDORA LTDA - ME;;600,00;;Compra Comum;;
100 - 2018;12/03/2018;AQUISIÇÃO DE LUBRIFICANTES, DESINGRIPANTES PARA HIGIENIZAÇÃO E LIMPEZA DIÁRIA PARA CONSERVAÇÃO DOS EQUIPAMENTOS DE SALVAMENTO PERTENCENTE AO CORPO DE BOMBEIROS MILITAR DO ESTADO DE SANTA CATARINA NA CIDADE DE CAMBORIU;SECRETARIA DE ADMINISTRAÇÃO;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;5.100,00;;Compra Comum;;
99 - 2018;12/03/2018;AQUISIÇÃO DE MATERIAL PARA REFORMA DA CASA DO ANTIGO ENDEREÇO DO CONSELHO TUTELAR.;SECRETARIA DE ADMINISTRAÇÃO;PNS MATERIAIS ELÉTRICOS LTDA;;84,48;;Compra Comum;;
98 - 2018;12/03/2018;PRESTAÇÃO DE SERVIÇO DE DESINCETIZAÇÃO E DESRATIZAÇÃO EM TODA A ÁREA PERTENCENTE AO PRÉDIO DA PREFEITURA;SECRETARIA DE ADMINISTRAÇÃO;GAUCHA PREST. SERV. DEDETIZAÇÃO;;500,00;;Compra Comum;;
97 - 2018;12/03/2018;AQUISIÇÃO DE PEÇAS PARA O VEÍCULO DOBLO ADVENTURE PLACA MCU 6736 DA SECRETARIA MUNICIPAL DE FINANÇAS PARA DAR CONTINUIDADE DOS SERVIÇOS EXECUTADOS PELA MESMA;SECRETARIA DE FINANÇAS;CLAUDINEI DA SILVA NDJ ME;;363,00;;Compra Comum;;
96 - 2018;12/03/2018;AQUISIÇÃO DE PEÇAS PARA O VEÍCULO DOBLO ADVENTURE PLACA MCU 6736 DA SECRETARIA MUNICIPAL DE FINANÇAS PARA DAR CONTINUIDADE DOS SERVIÇOS EXECUTADOS PELA MESMA;SECRETARIA DE FINANÇAS;CLAUDINEI DA SILVA NDJ ME;;115,00;;Compra Comum;;
95 - 2018;12/03/2018;SERVIÇO TECNICO PARA CONFIGURAÇÃO DE ROTEADOR DA INTERNET DA SECRETARIA DE AGRICULTURA, NECESSÁRIO PARA DAR CONTINUIDADE AO TRABALHO ADMINISTRATIVO;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;IMBRANET INTERNET E INFORMÁTICA LTDA ME;;65,00;;Compra Comum;;
94 - 2018;12/03/2018;AQUISIÇÃO DE  PNEUS 750/16 PARA O VEÍCULO KIA BONGO CAMINHÃO  - PLACA MIQ2633, PERTENCENTE A SECRETARIA DE AGRICULTURA, SENDO QUE PRECISAMOS URGENTE TROCAR OS PNEUS POIS SE ENCONTRAM-SE DESGASTADOS PELO TEMPO DE USO.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;JOSE HENRIQUE COPPI ME;;1.888,00;;Compra Comum;;
93 - 2018;12/03/2018;AQUISIÇÃO DE CARIMBOS QUE SERÃO UTILIZADOS NO SERVIÇO DE INSPEÇÃO MUNICIPAL E NA SECRETARIA DE AGRICULTURA NO SETOR ADMINISTRATIVO;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;AIRTON PADILHA PEREIRA ME;;330,00;;Compra Comum;;
92 - 2018;12/03/2018;AQUISIÇÃO DE SACOS DE LIXOS REFORÇADOS QUE SERÁ UTILIZADO NA LIMPEZA DAS PRAÇAS E ÁREAS PÚBLICAS DE CAMBORIU, SERVIÇO ESSE REALIZADO PELOS FUNCIONÁRIOS DA SECRETARIA DE AGRICULTURA;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;SAULO GARCIA ME - MERCADO BOM PREÇO;;495,00;;Compra Comum;;
91 - 2018;12/03/2018;AQUISIÇÃO DE MANGUEIRA GOTEJAMENTO E VASSOURA, MATERIAIS NECESSÁRIOS PARA O TRABALHO QUE A SECRETARIA DESENVOLVE NOS COLÉGIOS E ÁREAS PÚBLICAS DE CAMBORIU.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;1.095,00;;Compra Comum;;
90 - 2018;08/03/2018;SERVIÇO DE ALOJAMNETO NO HT DO 23º BATALHÃO DE INFANTARIA DE BLUMENAU, A FIM DE ACOMODAR UM SERVIDOR DA 30ª JUNTA DE SERVIÇO MILITAR DE CAMBORIU, DURANTE ESTÁGIO REALIAZDO NO 23BI DE 13 A 16 DE MARÇO DE PRESENTE ANO. RECRUTAMENTO E MOBILIZAÇÃO DE BLUMENAU PRM-05/004-BNU. O PAGAMENTO FEITO POR GRU DIRETO A CONTA FEDERAL. A LUZ DAS INFORMAÇÕES CONTIDAS, SOLICITAMOS A CONTRATAÇÃO DO SERVIÇO COM BASE NO ARTIGO 24II DA LEI 8666/93.;GABINETE DO PREFEITO;23 BATALHAO DE INFANTARIA;;320,00;;Compra Comum;;
89 - 2018;07/03/2018;A SECRETARIA PROPORCIONARÁ AS AGRICULTORAS DO MUNICÍPIO UMA PALESTRA QUE SERÁ REALIZADA PELA EDUCADORA EM SAÚDE (UNIDADE MÓVEL SESC SAÚDE MULHER) MARINA BORGES GONÇALVES, COM O TEMA SEXUALIDADE FEMININA E CONTAREMOS COM A PRESENÇA DA EXTENSIONISTA SOCIAL DA EPAGRI GEISEBEL CRISTINE PATRÍCIO QUE SERÁ RESPONSÁVEL PELAS DINÂMICAS. POR ESTE MOTIVO SERA EFETUADA A CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE COFFE BREAK, VISANDO O BOM ATENDIMENTO DO EVENTO;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;EVANDRO DOS SANTOS E CIA LTDA - ME;;115,22;;Compra Comum;;
88 - 2018;05/03/2018;AQUISIÇÃO DE FAIXAS EM LONA PARA COLOCAR EM ALGUNS PONTOS DA CIDADE PARA DIVULGAÇÃO DA FEIRA DO PRODUTOR RURAL QUE ACONTECE TODOS OS SÁBADOS NO CAIC E NAS QUARTAS FEIRAS DAS 6h AS 14H NO CENTRO DE CAMBORIU, OS PRODUTORES RURAIS VENDEM PRODUTOS CULTIVADOS EM SUAS PROPRIEDADES;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;INPREX COMUNICACAO VISUAL LTDA - ME;;400,00;;Compra Comum;;
87 - 2018;05/03/2018;AQUISIÇÃO DE MUDAS DE ALAMANDA E PALMEIRA AZUL, PARA PLANTAR E EMBELEZAR AS PRAÇAS E ÁREAS PUBLICAS DO MUNICIPIO DE CAMBORIU;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;LUANA PLANTAS LTDA;;2.000,00;;Compra Comum;;
86 - 2018;05/03/2018;PRESTAÇÃO DE SERVIÇO PARA ALTERAÇÃO DE GRAVAÇÃO DA CENTRAL TELEFÔNICA, TENDO EM VISTA A MUDANÇA DE HORÁRIO DO PAÇO MUNICIPAL PARA 12 AS 18 HORAS E A GRAVAÇÃO ESTAR CONSTANDO COM HORÁRIO ANTIGO;SECRETARIA DE ADMINISTRAÇÃO;PEREIRA TELECOMUNICAÇÕES - CESAR PEREIRA;;260,00;;Compra Comum;;
85 - 2018;05/03/2018;AQUISIÇÃO DE ROTEADOR AM SER INSTALADO NA SEDE DO DEMUTRAN NO DISTRITO DO MONTE ALEGRE;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;IMBRANET INTERNET E INFORMÁTICA LTDA ME;;120,00;;Compra Comum;;
84 - 2018;02/03/2018;AQUISIÇÃO DE TV 49, PARA MINISTRAR CURSOS E TREINAMENTOS RELEVANTES AO SERVIÇO POLICIAL MILITAR AOS INTEGRANTES DA 1ª CIA DE POLÍCIA MILITAR DE CAMBORIU;SECRETARIA DE ADMINISTRAÇÃO;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;3.110,60;;Compra Comum;;
83 - 2018;02/03/2018;AQUISIÇÃO DE TONERS PARA EMISSÃO DE DOCUMENTOS PARA A CASA DA CIDADÂNIA;SECRETARIA DE ADMINISTRAÇÃO;GUILHERME ADROALDO BERTOGLIO 07402673960;;957,60;;Compra Comum;;
82 - 2018;02/03/2018;AQUISIÇÃO DE PLACA VEÍCULAR PARA AUTOMÓVEL FIAT PALIO  WK ATTRAC 1.4 PLACA MLL 2170 PERTENCENTE AO CONSELHO TUTELAR;SECRETARIA DE ADMINISTRAÇÃO;LENZ & CIA LTDA ME;;145,00;;Compra Comum;;
81 - 2018;02/03/2018;A AQUISIÇÃO DE ESTERCO DE GALINHA, ELEMENTO MUITO IMPORTANTE PARA O DESENVOLVIMENTO E PRODUÇÃO DAS PLANTAS QUE A SECRETARIA PLANTA EM ÁREAS PÚBLICAS E PRAÇAS DO MUNICÍPIO DE CAMBORIU.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;CLENIO DA SILVA;;498,00;;Compra Comum;;
80 - 2018;02/03/2018;CAMISETAS POLO EM MALHA ECOLÓGICA COM ESTAMPAS, PARA SEREM USADOS COMO UNIFORMES PELOS FUNCIONARIOS DA SECRETARIA DE AGRICULTURA NO MUNICIPIO DE CAMBORIU;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;DJ SOFT LTDA - ME;;476,00;;Compra Comum;;
79 - 2018;02/03/2018;AQUISIÇÃO EM CARATER DE EXTREMA URGÊNCIA PARA ALIMENTAÇÃO DO EFETIVO EM APOIO AOS ATENDIMENTOS DAS INÚMERAS EMERGÊNCIA OCORRIDAS EM SEQUÊNCIA SURANTE O PERIÓDO DAS CHUVAS E VENDAVAIS QUE ESTÃO ATINGINDO O MUNICÍPIO DE CAMBORIU. DECLARADA SITUAÇÃO DE EMERGÊNCIA DEVIDO AOS ALAGAMENTOS EM DIVERSOS BAIRRO COM INÚMERAS QUEDAS DE ÁRVORES QUE OBSTRUEM AS ESTRADAS E CAUSAM PÂNICO NA POPULAÇÃO, ESSA MAIS CARENTE, QUE VIVE SOB AS ENCOSTAS DOS MORROS;SECRETARIA DE ADMINISTRAÇÃO;SPJ RESTAURANTE LTDA - ME;;1.602,25;;Compra Comum;;
77 - 2018;27/02/2018;SERVIÇO DE DEDETIZAÇÃO E LIMPEZA DA CAIXA DÁGUA DA SEDE DO QUARTEL DO CORPO DE BOMBEIROS MILITAR DE CAMBORIU. HAJA VISTA O VENCIMENTO DO PERIÓDO DE 06 MESES DA ULTIMA DEDETIZAÇÃO;SECRETARIA DE ADMINISTRAÇÃO;DAILU SERVICOS DE DEDETIZACAO LAVACAO E HIGIENIZAC;;500,00;;Compra Comum;;
76 - 2018;26/02/2018;AQUISIÇÃO DE ÓLEO PARA VIATURA ATP338, FIAT SIENA PLACAS MLD 9793, PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. MANUTENÇÃO OBRIGATÓRIA DE 30.000 KM, A FIM DE ASSEGURAR A GARANTIA ESTIPULADA PELA CONCESSIONÁRIA CONFORME INCISO XVII DO ART. 24 DA LEI 8666/93;SECRETARIA DE ADMINISTRAÇÃO;GLOBO PLANALTO COMERCIO DE VEICULOS LTDA;;360,00;;Compra Comum;;
75 - 2018;26/02/2018;AQUISIÇÃO DE PEÇAS PARA VIATURA ATP338, FIAT SIENA PLACAS MLD 9793, PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. MANUTENÇÃO OBRIGATÓRIA DE 30.000 KM, A FIM DE ASSEGURAR A GARANTIA ESTIPULADA PELA CONCESSIONÁRIA CONFORME INCISO XVII DO ART. 24 DA LEI 8666/93;SECRETARIA DE ADMINISTRAÇÃO;GLOBO PLANALTO COMERCIO DE VEICULOS LTDA;;326,23;;Compra Comum;;
74 - 2018;26/02/2018;SERVIÇO DE REVISÃO DA VIATURA ATP338, FIAT SIENA PLACAS MLD 9793, PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. MANUTENÇÃO OBRIGATÓRIA DE 30.000 KM, A FIM DE ASSEGURAR A GARANTIA ESTIPULADA PELA CONCESSIONÁRIA CONFORME INCISO XVII DO ART. 24 DA LEI 8666/93;SECRETARIA DE ADMINISTRAÇÃO;GLOBO PLANALTO COMERCIO DE VEICULOS LTDA;;753,80;;Compra Comum;;
73 - 2018;26/02/2018;SERVIÇO DE REVISÃO DA VIATURA AAT263, FIAT PALIO PLACAS OKF 3699, PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. TROCA DE ÓLEO, SUBSTITUIÇÃO OBRIGATÓRIA DE 20.000KM, AFIM DE ASSSEGURAR A GARANRIA ESTIPULADA PELA CONCESSIONÁRIA CONFORME INCISO XVII ART. 24 DA LEI 8666/93;SECRETARIA DE ADMINISTRAÇÃO;GLOBO PLANALTO COMERCIO DE VEICULOS LTDA;;380,80;;Compra Comum;;
72 - 2018;26/02/2018;AQUISIÇÃO DE PEÇAS PARA A REVISÃO DA VIATURA AAT263, FIAT PALIO PLACAS OKF 3699, PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. TROCA DE ÓLEO, SUBSTITUIÇÃO OBRIGATÓRIA DE 20.000KM, AFIM DE ASSSEGURAR A GARANRIA ESTIPULADA PELA CONCESSIONÁRIA CONFORME INCISO XVII ART. 24 DA LEI 8666/93;SECRETARIA DE ADMINISTRAÇÃO;GLOBO PLANALTO COMERCIO DE VEICULOS LTDA;;110,37;;Compra Comum;;
71 - 2018;26/02/2018;AQUISIÇÃO DE OLEO LUBRIFICANTE PARA A REVISÃO DA VIATURA AAT263, FIAT PALIO PLACAS OKF 3699, PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. TROCA DE ÓLEO, SUBSTITUIÇÃO OBRIGATÓRIA DE 20.000KM, AFIM DE ASSSEGURAR A GARANRIA ESTIPULADA PELA CONCESSIONÁRIA CONFORME INCISO XVII ART. 24 DA LEI 8666/93;SECRETARIA DE ADMINISTRAÇÃO;GLOBO PLANALTO COMERCIO DE VEICULOS LTDA;;160,00;;Compra Comum;;
70 - 2018;26/02/2018;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REPRODUÇÃO DE DOCUMENTOS PARA ESTA SECRETARIA.;SECRETARIA DE FINANÇAS;S.S. GRÁFICA LTDA - ME;;480,00;;Compra Comum;;
69 - 2018;26/02/2018;AQUISIÇÃO DE MATERIAL PARA UMA IMPRESSORA DE EXTREMA NECESSIDADE DO DEPARTAMENTO DE FISCALIZAÇÃO;SECRETARIA DE FINANÇAS;IDALECIO EDUARDO EPP;;250,00;;Compra Comum;;
69 - 2018;15/06/2018;COMPRA DIRETA DESTINADA A AQUISIÇÃO DE ESCADA DESTINADA A SECRETARIA DE SAÚDE VISTO DE NÃO POSSUIRMOS PROCESSO LICITATÓRIO.;FUNDO MUNICIPAL DE SAÚDE;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;172,70;;Compra Comum;;
68 - 2018;14/06/2018;SERVIÇO DE CALIBRAÇÃO DE EQUIPAMENTO DE AUDIOMETRIA DEO CERFIS, VISTO QUE O MESMO É O ÚNICO EQUIPAMENTO PERTENCENTE Á REDE MUNICIPAL DE SAÚDE, QUE ENCONTRA-SE DESCALIBRADO SEM CONSIÇÕES DE ATENDER A POPULAÇÃO E A DEMANDA REPRIMIDA DA SECRETARIA DE SAÚDE.;FUNDO MUNICIPAL DE SAÚDE;MASTER AUDIOLOGIA LTDA - LABORATÓRIO DE ACÚSTICA;;1.310,00;;Compra Comum;;
67 - 2018;26/02/2018;SERVIÇO DE MÃO DE OBRA DESTINADA A MANUTENÇÃO E CONSERTO DA MOTOCICLETA CG 125 PLACA MBI 1329, DESTA SECRETARIA, UTILIZADA NO SERVIÇO DE APOIO NA EXTENSÃO DA SECRETARIA DE OBRAS NO DISTRITO DO MONTE ALEGRE;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;DOIS IRMÃOS MOTO PEÇAS LTDA ME;;250,00;;Compra Comum;;
67 - 2018;25/05/2018;SERVIÇO TÉCNICO ESPECIALIZADO DESTINADO A INSTALAÇÃO E MANUTENÇÃO DE LINHAS TELEFÔNICAS E RAMAIS DA SECRETARIA DE SAÚDE DESTE MUNICÍPIO E SUAS UNIDADES, NA FORMA DE COMPRA DIRETA.;FUNDO MUNICIPAL DE SAÚDE;JOAO CORDOVA ARRUDA 25097083920;;3.000,00;;Compra Comum;;
66 - 2018;26/02/2018;AQUISIÇÃO DE PEÇAS PARA REPOSIÇÃO NO CONSERTO DA MOTOCICLETA HONDA CG 125, PLACA MBI 1329, DESTA SECRETARIA, UTILIZADA NO SERVIÇO DE APOIO NA EXTENSÃO DA SECRETARIA DE OBRAS NO DISTRITO MONTE ALEGRE;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;DOIS IRMÃOS MOTO PEÇAS LTDA ME;;208,00;;Compra Comum;;
66 - 2018;25/05/2018;SERVIÇO DE FORNECIMENTO DE ALIMENTAÇÃO AOS TRINAMENTOS DOS FUNCIONÁRIOS DA ATENÇÃO BÁSICA, QUE ACONTECERÃO EM DIAS A SEREM DEFINIDOS NO MÊS DE JUNHO, DESTA FORMA SOLICITAMOS A AQUISIÇÃO AOS MESMOS NA FORMA DE COMPRA DIRETA.;FUNDO MUNICIPAL DE SAÚDE;COMERCIAL SEARA LTDA - ME;;1.016,00;;Compra Comum;;
65 - 2018;26/02/2018;AQUISIÇÃO DE CARTUCHO PARA IMPRESSORA HP 3845 DESKJET PARA ATENDER A DEMANDA DE IMPRESSÕES DA ASSESSORIA DE COMUNICAÇÃO SOCIAL DA PREFEITURA DE CAMBORIU;ASSESSORIA DE COMUNICAÇÃO;IDEAL CARTUCHOS LTDA-ME;;575,00;;Compra Comum;;
65 - 2018;25/05/2018;SERVIÇO DE FORNECIMENTO DE ALIMENTAÇÃO DESTINADOS AOS TREINAMENTOS DOS FUNCIONÁRIOS DA VIGILÂNCIA SANITÁRIA, QUE ACONTECERÃO EM DIAS A SEREM DEFINIDOS NO MÊS DE JUNHO, DESTA FORMA SOLICITAMOS A AQUISIÇÃO DOS MESMOS NA FORMA DE COMPRA DIRETA.;FUNDO MUNICIPAL DE SAÚDE;COMERCIAL SEARA LTDA - ME;;884,00;;Compra Comum;;
64 - 2018;26/02/2018;PEÇA DE COMPUTADOR FONTE ATX, PARA MELHORAR O DESEMPENHO DE 2 COMPURADORES DO CONSELHO TUTELAR.;SECRETARIA DE ADMINISTRAÇÃO;SOMADATTA INFORMATICA LTDA - EPP;;180,00;;Compra Comum;;
64 - 2018;25/05/2018;SERVIÇO DE PROPAGANDA E DIVULGAÇÃO COM CARRO DE SOM (TRIO ELÉTRICO), VISANDO PROMOVER O COMBATE A GRIPE NO MUNICÍPIO DE CAMORIU. PARA TAL NECESSITAMOS DESTA AQUISIÇÃO NA FORMA DE COMPRA DIRETA AMPARADA PELA LEI 8666/93 NO SEU ARTIGO 24 II. A PRESENTE REQUISIÇÃO  POSSUI APENAS UM ORÇAMENTO, VISTO QUE A EMPRESA É A ÚNICA QUE POMOVE TAL SERVIÇO NA REGIÃO.;FUNDO MUNICIPAL DE SAÚDE;REDE CATARINENSE DE COMUNICACAO LTDA;;1.500,00;;Compra Comum;;
63 - 2018;22/02/2018;PRESTAÇÃO DE SERVIÇO DE DESLOCAMENTO TÉCNICO PARA CONSERTO DO RELÓGIO PONTO DO PAÇO MUNICIPAL QUE ENCONTRA-SE UNITILIZADO POR DEFEITO DO SISTEMA DO RELÓGIO PONTO;SECRETARIA DE ADMINISTRAÇÃO;TIME TEC CONTROLE DE PONTO/ACESSO LTDA - ME;;180,00;;Compra Comum;;
63 - 2018;24/05/2018;SERVIÇO DE FORNECIMENTO DE ALIMENTAÇÃO DESTINADOS AS CAMPANHAS E TRINAMENTOS DOS FUNCIONÁRIOS DA VIGILÂNCIA EPIDEMIOLÓGICA, QUE ACONTECERÃO EM DIAS A SEREM DEFINIDOS NO MÊS DE JUNHO, DESTA FORMA, SOLICITAMOS A AQUISIÇÃO DOS MESMOS NA FORMA DE COMPRA DIRETA.;FUNDO MUNICIPAL DE SAÚDE;COMERCIAL SEARA LTDA - ME;;3.728,00;;Compra Comum;;
62 - 2018;19/02/2018;A PRESENTE REQUISIÇÃO TEM POR OBJETIVO A RENOVAÇÃO DO ALUGUEL DE SOFTWARE BASEADO EM PLATAFORMA WEB, PARA GESTÃO DESTA SECRETARIA, PELO PERIÓDO DE 12 MESES QUE CORRESPONDE O PERIÓDO DE 02/2018 A 01/2019. AUSÊNCIA DE DEMAIS ORÇARMENTOS TENDO EM VISTA A CONTINUAÇÃO DOS TRABALHOS DA SECRETARIA PELO SOFTWARE UTILIZADO COMO BANCO DE DADOS, EMISSÃO DE PROTOCOLOS, REQUIRIMENTOS PARA ANALISE DE PROJETOS, VISTORIAS DE HABITE-SE, REGISTRO DE OBRAS EMBARGADAS ENTRE OUTROS;SECRETARIA DE PLANEJAMENTO URBANO;EMBRACORE INFORMATICA LTDA - EPP;;5.940,00;;Compra Comum;;
62 - 2018;24/05/2018;AQUISIÇÃO DE EQUIPO PARA BOMBA DE INFUSÃO, DESTINADOS AO HOSPITAL CIRÚRGICO CAMBORIU - EDWIGWE BERNARDES VISTO QUE APESAR DE TAL PRODUTO ESTAR COTADO NA LICITAÇÃO 30/2017 (PROCESSO/ANO 89/2017), ITEM 28, O MESMO NÃO FOI ENTREGUE PELA EMPRESA VENCEDORA (TOTAL HEALTH), SENDO JÁ NOTIFICADA PELO SETOR DE COMPRAS (CONFORME SOLICITAÇÃO DO OFICIO 21/2018 ORIUNDO DA SECRETARIA DE SAÚDE DE CAMBORIU, PROTOCOLADO EM 30/01/2018). ALEM DISSO, IMPORTENTE RESSALTAR A DIFICULDADE EM ENCONTRARMOS FORNECEDORES PARA O ITEM ORA SOLICITADO, LEVANDO-SE EM CONSIDERAÇÃO QUE O EQUIPO DEVE ENCAIXAR EM BOMBA JÁ ADQUIRIDA NO HCC.;FUNDO MUNICIPAL DE SAÚDE;ALTHIS COMERCIO DE MEDICAMENTOS E MATERIAIS MEDICO;;673,75;;Compra Comum;;
61 - 2018;19/02/2018;AQUISIÇÃO DE MATERIAL ELÉTRICO PARA INSTALAÇÃO DE PORTA GIRATÓRIA NO CITRAN DE CAMBORIU/DELEGACIA DE POLICIA;SECRETARIA DE ADMINISTRAÇÃO;HIDDROART MATERIAIS PARA CONSTRUÇÃO LTDA;;70,20;;Compra Comum;;
61 - 2018;23/05/2018;AQUISIÇÃO DE FURADEIRA E PARAFUSADEIRA, DESTINADOS A MANUTENÇÃO DO HOSPITAL CIRÚRGICO CAMBORIU - EDWIGES BERNARDES VISTO A PRECARIEDADE DAS INSTALAÇÕES , AONDE SE FAZ NECESSÁRIA MANUTENÇÃO CONSTANTE E DESSA FORMA, UTILIZAM-SE DIARIAMENTE OS FUNCIONÁRIOS DE TAIS FERRAMENTAS. A MANUTENÇÃO JA CITADA PREVINE ASSIM RISCOS A PACIENTES E PROFISSIONAIS QUE FAZEM USO DE TAL ESPAÇO. CABE RESSALTAR A EXISTÊNCIA DE REQUISIÇÃO ANTERIOR (EMPENHO 508/2018) ONDE FIGURAM OS MESMOS ITENS E COMO FORNECEDOR COM O MELHOR PREÇO A EMPRESA CASAS DA AGUA, PORÉM INFORMA QUE TAL EMPRESA NEGOU-SE A FORNECER OS MATERIAIS, ALEGANDO QUE O PAGAMENTO TERIA QUE SER A VISTA (OU SEJA, NA RETIRADA DOS MATERIAIS) O QUE INVIABILIZOU A COMPRA.;FUNDO MUNICIPAL DE SAÚDE;J. I. AMARAL - ME;;643,98;;Compra Comum;;
60 - 2018;14/06/2018;REQUISITA-SE SERVIÇO DE INSTALAÇÃO E REINSTALAÇÃO DE AR CONDICIONADO DA FUNDAÇÃO DO MEIO AMBIENTE DE CAMBORIU.;Fundação Municipal do Meio Ambiente;DELTA CLIMA ASSISTENCIA TECNICA LTDA;;1.850,00;;Compra Comum;;
60 - 2018;19/02/2018;AQUISIÇÃO DE CARIMBOS PARA O CITRAN DE CAMBORIU.;SECRETARIA DE ADMINISTRAÇÃO;AIRTON PADILHA PEREIRA ME;;710,00;;Compra Comum;;
60 - 2018;17/05/2018;AQUISIÇÃO DE SERRA ELÉTRICA PARA GESSO, DESTINADO AO PRONTO ATENDIMENTO DO HOSPITAL CIRURGICO CAMBORIU - EDWIGES BERNARDES VISTO QUE O ANTIGO EQUIPAMENTO PARA ESTA FINALIDADE QUEIMOU. LEVANDO EM CONTA QUE A RETIRADA DE GESSO É UM PROCEDIMENTO COMUM E DE ALTA DEMANDA NO PS, É IMPRESCINDÍNCEL A AQUISIÇÃO DESTE EQUIPAMENTO.;FUNDO MUNICIPAL DE SAÚDE;OLIMED MATERIAL HOSPITALAR  LTDA;;2.290,00;;Compra Comum;;
59 - 2018;14/06/2018;REGISTRA O VALOR DAS DESPESAS COM MATERIAIS DESTINADOS A HIGIENIZAÇÃO PESSOEL, DE AMBIENTES DE TRABALHO, SENDO ESTE PARA AQUISIÇÃO DE SABONETE LÍQUIDO.;Fundação Municipal do Meio Ambiente;LIMPEFORT PRODUTOS DE LIMPEZA LTDA.;;55,98;;Compra Comum;;
59 - 2018;19/02/2018;AQUISIÇÃO DE PLACA MÃE PARA CONSERTO DO COMPUTADOR DO PORTAL TURÍSTICO - PMC;SECRETARIA DE DESENVOLVIMENTO ECÔNOMICO;EMBRACORE INFORMÁTICA LTDA.;;390,00;;Compra Comum;;
